name,city,country,IATA,latitude,longitude,population
Aalborg Airport,Aalborg,Denmark,AAL,57.0927589138,9.84924316406,543700.5259242682
Aarhus Airport,Aarhus,Denmark,AAR,56.2999992371,10.619000434899998,440245.8652836305
Aberdeen Dyce Airport,Aberdeen,United Kingdom,ABZ,57.20190048217773,-2.197779893875122,632085.6425626521
St Gallen Altenrhein Airport,Altenrhein,Switzerland,ACH,47.4850006104,9.560770034789998,341918.72487103305
Alderney Airport,Alderney,Guernsey,ACI,49.706104,-2.21472,227435.0986861285
Adana Airport,Adana,Turkey,ADA,36.9822006226,35.2803993225,5179925.381971508
Adnan Menderes International Airport,Izmir,Turkey,ADB,38.2924003601,27.156999588,2343630.1084453305
Adıyaman Airport,Adiyaman,Turkey,ADF,37.7313995361,38.4688987732,1729676.3591202789
Ålesund Airport,Alesund,Norway,AES,62.5625,6.119699954986572,109537.72812280038
Augsburg Airport,Augsburg,Germany,AGB,48.425278,10.931667,184770.19035343596
Agen-La Garenne Airport,Agen,France,AGF,44.17470169067383,0.5905560255050659,314929.8804496409
Ängelholm-Helsingborg Airport,Ängelholm,Sweden,AGH,56.29610061645508,12.847100257873535,185272.6954086297
Málaga Airport,Malaga,Spain,AGP,36.67490005493164,-4.499110221862793,7472988.402124663
Alghero-Fertilia Airport,Alghero,Italy,AHO,40.632099,8.29077,392545.0897281294
Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,AJA,41.92359924316406,8.8029203414917,256652.0895775677
Ağrı Airport,Agri,Turkey,AJI,39.654541015625,43.025978088378906,560978.4321230943
Arvidsjaur Airport,Arvidsjaur,Sweden,AJR,65.59030151367188,19.28190040588379,51859.89150608409
Alicante International Airport,Alicante,Spain,ALC,38.28219985961914,-0.5581560134887695,3985071.2660923526
Alta Airport,Alta,Norway,ALF,69.976097106934,23.371700286865,24608.29369403497
Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,52.308601,4.76389,12498155.011021128
Angoulême-Brie-Champniers Airport,Angouleme,France,ANG,45.72919845581055,0.2214560061693191,269636.0482208253
Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.1893997192,4.46027994156,201040.9260561661
Andøya Airport,Andoya,Norway,ANX,69.292503356934,16.144199371338,23147.33027617173
Anadolu Airport,Eskissehir,Turkey,AOE,39.809898,30.5194,465323.9975598938
Ancona Falconara Airport,Ancona,Italy,AOI,43.616299,13.3623,499108.6484006453
Karpathos Airport,Karpathos,Greece,AOK,35.4213981628418,27.145999908447266,46090.569808499786
Stockholm-Arlanda Airport,Stockholm,Sweden,ARN,59.651901245117,17.918600082397,2661080.6088893632
Arad International Airport,Arad,Romania,ARW,46.17660140991211,21.261999130249023,464452.5022617767
Kayseri Erkilet Airport,Kayseri,Turkey,ASR,38.770401001,35.4953994751,1596626.677118911
Eleftherios Venizelos International Airport,Athens,Greece,ATH,37.9364013672,23.9444999695,3227509.3482272825
Aurillac Airport,Aurillac,France,AUR,44.89139938354492,2.4219400882720947,249057.82900340203
Avignon-Caumont Airport,Avignon,France,AVN,43.90729904174805,4.901830196380615,247073.6977791241
Dimokritos Airport,Alexandroupolis,Greece,AXD,40.855899810791016,25.956300735473636,418638.956737776
Antalya International Airport,Antalya,Turkey,AYT,36.898701,30.800501,3037813.2175576226
Batman Airport,Batman,Turkey,BAL,37.9290008545,41.1166000366,1594952.3368364768
Tautii Magheraus Airport,Baia Mare,Romania,BAY,47.65840148925781,23.46999931335449,747323.5105136278
Barcelona International Airport,Barcelona,Spain,BCN,41.2971,2.07846,5148389.916988446
Brindisi – Salento Airport,Brindisi,Italy,BDS,40.6576,17.947001,981337.6515008034
Bardufoss Airport,Bardufoss,Norway,BDU,69.055801391602,18.540399551392,9789.912820760172
Benbecula Airport,Benbecula,United Kingdom,BEB,57.48109817504883,-7.362780094146728,50714.31130600081
Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG,44.8184013367,20.3090991974,4943007.878491447
Brest Bretagne Airport,Brest,France,BES,48.447898864746094,-4.418540000915527,451587.2691769408
Belfast International Airport,Belfast,United Kingdom,BFS,54.6575012207,-6.21582984924,830630.5853770914
Bingöl Çeltiksuyu Airport,Bingol,Turkey,BGG,38.8592605591,40.5959625244,875459.7380006331
Bergen Airport Flesland,Bergen,Norway,BGO,60.29339981,5.218140125,532094.0431616876
Il Caravaggio International Airport,Bergamo,Italy,BGY,45.673901,9.70417,4487514.868058723
