name,city,country,IATA,latitude,longitude,population
Aitutaki Airport,Aitutaki,Cook Islands,AIT,-18.830900192260746,-159.76400756835938,2195
Enua Airport,Atiu Island,Cook Islands,AIU,-19.96780014038086,-158.11900329589844,2593
Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,AJA,41.92359924316406,8.8029203414917,256652
Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,AJF,29.78510093688965,40.09999847412109,371943
Ağrı Airport,Agri,Turkey,AJI,39.654541015625,43.025978088378906,560978
Lengpui Airport,Aizwal,India,AJL,23.8405990601,92.6196975708,5535366
Arvidsjaur Airport,Arvidsjaur,Sweden,AJR,65.59030151367188,19.28190040588379,51860
Atka Airport,Atka,United States,AKB,52.22029877,-174.2059937,273
Kufra Airport,Kufra,Libya,AKF,24.178699493408203,23.31399917602539,21864
Asahikawa Airport,Asahikawa,Japan,AKJ,43.67079925537109,142.44700622558594,395508
Akhiok Airport,Akhiok,United States,AKK,56.9387016296,-154.182998657,16
Auckland International Airport,Auckland,New Zealand,AKL,-37.0080986023,174.792007446,1748784
King Salmon Airport,King Salmon,United States,AKN,58.67679977,-156.6490021,1178
Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,AKP,68.13359833,-151.7429962,156
Aksu Airport,Aksu,China,AKU,41.262501,80.291702,1807508
Akulivik Airport,Akulivik,Canada,AKV,60.81859970092773,-78.14859771728516,946
Aktobe Airport,Aktyubinsk,Kazakhstan,AKX,50.2458,57.206699,583321
Sittwe Airport,Sittwe,Burma,AKY,20.132699966430664,92.87259674072266,1511276
Almaty Airport,Alma-ata,Kazakhstan,ALA,43.35210037231445,77.04049682617188,4116463
Albany International Airport,Albany,United States,ALB,42.74829864501953,-73.80169677734375,1876181
Alicante International Airport,Alicante,Spain,ALC,38.28219985961914,-0.5581560134887695,3985071
Alta Airport,Alta,Norway,ALF,69.976097106934,23.371700286865,24608
Houari Boumediene Airport,Algier,Algeria,ALG,36.69100189208984,3.215409994125366,15755317
Albany Airport,Albany,Australia,ALH,-34.94329833984375,117.80899810791016,35926
Waterloo Regional Airport,Waterloo,United States,ALO,42.55709838867188,-92.40029907226562,148730
San Luis Valley Regional Bergman Field,Alamosa,United States,ALS,37.434898,-105.866997,195342
Walla Walla Regional Airport,Walla Walla,United States,ALW,46.09489822,-118.288002,91730
Rick Husband Amarillo International Airport,Amarillo,United States,AMA,35.219398,-101.706001,331322
Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,AMD,23.0771999359,72.63469696039999,40354648
Arba Minch Airport,Arba Minch,Ethiopia,AMH,6.0393900871276855,37.59049987792969,9366058
Queen Alia International Airport,Amman,Jordan,AMM,31.7226009369,35.9931983948,8572608
"Pattimura Airport, Ambon",Ambon,Indonesia,AMQ,-3.7102599144,128.089004517,1571772
Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,52.308601,4.76389,12498155
Ted Stevens Anchorage International Airport,Anchorage,United States,ANC,61.17440032958984,-149.99600219726562,322412
Andrés Sabella Gálvez International Airport,Antofagasta,Chile,ANF,-23.444501,-70.445099,363926
Angoulême-Brie-Champniers Airport,Angouleme,France,ANG,45.72919845581055,0.2214560061693191,269636
Aniak Airport,Aniak,United States,ANI,61.58160018920898,-159.54299926757812,1682
Antsirabato Airport,Antalaha,Madagascar,ANM,-14.99940013885498,50.3202018737793,475231
Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.1893997192,4.46027994156,201041
Andahuaylas Airport,Andahuaylas,Peru,ANS,-13.70639991760254,-73.35040283203125,753208
V.C. Bird International Airport,Antigua,Antigua and Barbuda,ANU,17.1367,-61.792702,207281
Anvik Airport,Anvik,United States,ANV,62.646702,-160.190994,384
Andøya Airport,Andoya,Norway,ANX,69.292503356934,16.144199371338,23147
Anadolu Airport,Eskissehir,Turkey,AOE,39.809898,30.5194,465324
Anshan Air Base,Anshan,China,AOG,41.105301,122.853996,2192722
Ancona Falconara Airport,Ancona,Italy,AOI,43.616299,13.3623,499109
Aomori Airport,Aomori,Japan,AOJ,40.73469924926758,140.6909942626953,610432
Karpathos Airport,Karpathos,Greece,AOK,35.4213981628418,27.145999908447266,46091
Altoona Blair County Airport,Altoona,United States,AOO,40.29639816,-78.31999969,296989
Sultan Abdul Halim Airport,Alor Setar,Malaysia,AOR,6.189670085906982,100.39800262451172,866657
Naples Municipal Airport,Naples,United States,APF,26.1525993347,-81.7752990723,89035
Nampula Airport,Nampula,Mozambique,APL,-15.105600357055664,39.28179931640625,6117782
Alpena County Regional Airport,Alpena,United States,APN,45.0780983,-83.56030273,129014
Antonio Roldan Betancourt Airport,Carepa,Colombia,APO,7.81196,-76.7164,1228205
Faleolo International Airport,Faleolo,Samoa,APW,-13.829999923706056,-172.00799560546875,197658
Araraquara Airport,Araracuara,Brazil,AQA,-21.8120002747,-48.1329994202,797085
Anqing Tianzhushan Airport,Anqing,China,AQG,30.582199,117.050003,3973331
Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,AQI,28.335199,46.125099,399233
Aqaba King Hussein International Airport,Aqaba,Jordan,AQJ,29.61160087585449,35.01810073852539,157073
Rodríguez Ballón International Airport,Arequipa,Peru,AQP,-16.3411006927,-71.5830993652,1812119
Arctic Village Airport,Arctic Village,United States,ARC,68.1147,-145.578995,212
Talagi Airport,Arkhangelsk,Russia,ARH,64.60030364990234,40.71670150756836,578538
Chacalluta Airport,Arica,Chile,ARI,-18.348499,-70.338699,360156
Arusha Airport,Arusha,Tanzania,ARK,-3.3677899837493896,36.63330078125,871640
Armidale Airport,Armidale,Australia,ARM,-30.5280990601,151.617004395,61687
Stockholm-Arlanda Airport,Stockholm,Sweden,ARN,59.651901245117,17.918600082397,2661081
Watertown International Airport,Watertown,United States,ART,43.99190139770508,-76.02169799804688,192301
Araçatuba Airport,Aracatuba,Brazil,ARU,-21.1413002014,-50.4247016907,998102
Arad International Airport,Arad,Romania,ARW,46.17660140991211,21.261999130249023,464453
Ashgabat International Airport,Ashkhabad,Turkmenistan,ASB,37.986801,58.361,3033495
